"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
2;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
3;",,,,,,,,,,,";"buzzardLabel";12;"";;;
4;"K5,K2";"TERMINAL_KF235-5.0-2P";2;"TERMINAL_KF235-5.0-2P";;;
5;"C1,C2";"0805C";2;"CL10A226MP8NUNE";;;
6;"D1";"0402LED";1;"purple";;;
7;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
8;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
9;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
10;"L1";"DFE252012F-1R0M=P2";1;"DFE2016E-2R2M=P9";;;
11;"C3";"0805C";1;"C1608X7S1A475K080AC";;;
12;"R1";"0402R";1;"1k";;;
13;"U1";"tps613222a";1;"TPS613222A";;;
14;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
15;"K4,K6,K3,K1";"HEADER_MALE_1X1";4;"HEADER_MALE_1X1";;;
16;"Ref**";"Version1.0.0.";1;"Val**";;;
